gt,predictions
0,0.4998
0,0.4998
0,0.5005
0,0.5
0,0.5
0,0.5015
0,0.501
1,0.5005
0,0.5015
1,0.501
0,0.501
1,0.5015
1,0.5005
1,0.5
1,0.5005
1,0.502
1,0.5005
0,0.5044
1,0.4998
1,0.5005
0,0.5015
1,0.501
1,0.503
0,0.5015
1,0.501
0,0.4998
0,0.501
0,0.5
0,0.4995
1,0.5005
0,0.5005
1,0.501
0,0.5
1,0.5024
0,0.5034
1,0.5005
0,0.4998
1,0.502
1,0.4998
0,0.5083
0,0.501
0,0.5015
0,0.5005
1,0.505
0,0.501
0,0.5
0,0.4998
0,0.501
1,0.501
0,0.502
1,0.5
1,0.5005
1,0.5
1,0.501
1,0.5005
1,0.511
1,0.5005
1,0.5005
1,0.4995
1,0.5034
1,0.5
1,0.5015
1,0.5
1,0.5015
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.5
1,0.5
1,0.5
1,0.502
1,0.5005
1,0.5015
1,0.5
1,0.503
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.5234
1,0.502
1,0.4998
1,0.5
1,0.5186
1,0.509
1,0.5005
1,0.501
1,0.5005
1,0.5005
1,0.5005
1,0.501
1,0.5005
1,0.5005
1,0.501
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.5005
1,0.4998
1,0.5005
1,0.504
1,0.5005
1,0.5005
1,0.5117
1,0.5005
